# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 66K of event 'cycles:P'
# Event count (approx.): 62401597400
#
# Overhead  Command          Shared Object                                        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ...................................................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033ddd3
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d892
     0.01%  python           libpython3.10.so.1.0                                 [.] PyFrame_BlockPop
     0.01%  python           libpython3.10.so.1.0                                 [.] meth_traverse
     0.01%  python           libpython3.10.so.1.0                                 [.] method_vectorcall_NOARGS
     0.01%  mediapipe/39532  libc.so.6                                            [.] __memmove_avx_unaligned_erms
     0.01%  mediapipe/39529  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] pthreadpool_parallelize_2d_tile_2d
     0.01%  mediapipe/39529  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_compute_gemm
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000328967
     0.01%  python           [unknown]                                            [k] 0xffffffff8e417abf
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085cba3
     0.01%  python           [unknown]                                            [k] 0xffffffff8e4eaec2
     0.01%  mediapipe_gl_ru  [vdso]                                               [.] 0x0000000000000c33
     0.01%  python           ld-linux-x86-64.so.2                                 [.] _dl_find_dso_for_object
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b471ba
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3eb567
     0.01%  python           libpython3.10.so.1.0                                 [.] super_getattro
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3edee5
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000321827
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002faf5e
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fa2f5
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033ee1e
     0.01%  mediapipe/39532  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_compute_gemm
     0.01%  python           [unknown]                                            [k] 0xffffffff8e418525
     0.01%  python           libpython3.10.so.1.0                                 [.] PyUnicode_Substring
     0.01%  python           [unknown]                                            [k] 0xffffffff8e418529
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003101e3
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d1da
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000008491ad
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000030f753
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7ee3
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3dbc11
     0.01%  mediapipe/39530  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_maxpool_minmax_ukernel_9p8x__sse_c4
     0.01%  python           libpython3.10.so.1.0                                 [.] mro_internal
     0.01%  python           libpython3.10.so.1.0                                 [.] delitem_common
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327e80
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000030fbd7
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3e87a4
     0.01%  python           libpython3.10.so.1.0                                 [.] PyFrame_GetLineNumber
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003283b6
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000032cae2
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3eb5c6
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000031641b
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327e50
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7e23
     0.01%  python           libpython3.10.so.1.0                                 [.] PyObject_Free@plt
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3ee0a5
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f973c
     0.01%  python           libpython3.10.so.1.0                                 [.] PySequence_Fast
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000843846
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002faeea
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327a31
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000313761
     0.01%  python           [unknown]                                            [k] 0xffffffff8e406031
     0.01%  python           [unknown]                                            [k] 0xffffffff8e40602f
     0.01%  mediapipe/39540  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_compute_igemm
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000032796d
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084923c
     0.01%  python           _multiarray_umath.cpython-310-x86_64-linux-gnu.so    [.] PyArray_UpdateFlags
     0.01%  python           libpython3.10.so.1.0                                 [.] list_iter
     0.01%  python           libpython3.10.so.1.0                                 [.] member_set
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b471b6
     0.01%  python           libc.so.6                                            [.] __GI___pthread_disable_asynccancel
     0.01%  python           [unknown]                                            [k] 0xffffffff8e000162
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003217f2
     0.01%  python           ld-linux-x86-64.so.2                                 [.] _dl_map_object
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fb650
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7ee6
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b47191
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000844c98
     0.01%  python           libpython3.10.so.1.0                                 [.] unicode_new
     0.01%  python           [unknown]                                            [k] 0xffffffff8f4ea6a7
     0.01%  python           libpython3.10.so.1.0                                 [.] func_descr_get
     0.01%  python           libQt5Gui-1ce8cbfe.so.5.15.16                        [.] 0x00000000003a332a
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003289d5
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d139
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d74e
     0.01%  python           libpython3.10.so.1.0                                 [.] PyObject_GC_UnTrack@plt
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a93
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fa357
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7e43
     0.01%  python           [unknown]                                            [k] 0xffffffff8f4f314e
     0.01%  mediapipe/39532  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] pthreadpool_parallelize_2d_tile_2d
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000310df3
     0.01%  python           libpython3.10.so.1.0                                 [.] _PyType_Lookup@plt
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000849279
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000030fb54
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3edc99
     0.01%  python           libpython3.10.so.1.0                                 [.] _textiowrapper_readline
     0.01%  mediapipe/39534  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_compute_gemm
     0.01%  mediapipe/39534  libc.so.6                                            [.] __memmove_avx_unaligned_erms
     0.01%  python           [unknown]                                            [k] 0xffffffff8e42cede
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fa2c0
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d11a
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c57c
     0.01%  python           libpython3.10.so.1.0                                 [.] AttributeError_dealloc
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7edc
     0.01%  python           [unknown]                                            [k] 0xffffffff8f4ea7e0
     0.01%  python           libc.so.6                                            [.] __parse_one_specmb
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000005c1c49
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003217f8
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f9798
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033cde5
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000032894e
     0.01%  python           libpython3.10.so.1.0                                 [.] PyObject_IS_GC@plt
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c5ae
     0.01%  python           cv2.abi3.so                                          [.] 0x00000000026665ad
     0.01%  python           libpython3.10.so.1.0                                 [.] _PyArg_ParseTuple_SizeT
     0.01%  mediapipe/39546  libc.so.6                                            [.] __memmove_avx_unaligned_erms
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f96c1
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3eb5ca
     0.01%  python           [unknown]                                            [k] 0xffffffff8e4060a1
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002faef3
     0.01%  python           libpython3.10.so.1.0                                 [.] PyUnicode_AsUTF8AndSize
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fbe63
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b4720e
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000005c1c39
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000316336
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7f67
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a03
     0.01%  python           [unknown]                                            [k] 0xffffffff8f4df2de
     0.01%  mediapipe/39533  libc.so.6                                            [.] __memmove_avx_unaligned_erms
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fb662
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084924c
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327971
     0.01%  python           [unknown]                                            [k] 0xffffffff8e406006
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3e7695
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3e880f
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3dcabb
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3edc90
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084867b
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003162d5
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3e7678
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002faf07
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000328152
     0.01%  python           libpython3.10.so.1.0                                 [.] gen_iternext
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033f0b6
     0.01%  mediapipe/39528  libc.so.6                                            [.] __memmove_avx_unaligned_erms
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c50c
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002faf72
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033f0c1
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3e7665
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000030f778
     0.01%  python           [unknown]                                            [k] 0xffffffff8e2832be
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a96
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d3c7
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3ee044
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003289ad
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f8041
     0.01%  python           [vdso]                                               [.] 0x0000000000000c33
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000846ac9
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f97a7
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003163d2
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fb669
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033f0b3
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000849203
     0.01%  mediapipe/39526  libc.so.6                                            [.] __memmove_avx_unaligned_erms
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000321ad2
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327e3e
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000008466e3
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000030f6a4
     0.01%  mediapipe/39547  libc.so.6                                            [.] __memmove_avx_unaligned_erms
     0.01%  mediapipe/39528  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_compute_gemm
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3e8799
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fbffe
     0.01%  python           [unknown]                                            [k] 0xffffffff8e495576
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d681
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000008467d6
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003289b4
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b47222
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3eb44a
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7f85
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000032182f
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3edfae
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000008491d7
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327cc1
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a68
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000849294
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7eb9
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000032822d
     0.01%  python           libpython3.10.so.1.0                                 [.] float_vectorcall
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b471f5
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003162ad
     0.01%  python           libc.so.6                                            [.] _int_free_maybe_consolidate
     0.01%  mediapipe/39540  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_compute_gemm
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3e760e
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a55
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000844ac6
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033ee3d
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b47239
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fadb0
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c471
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7ecd
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000310dfa
     0.01%  python           libQt5Gui-1ce8cbfe.so.5.15.16                        [.] 0x00000000003a330c
     0.01%  mediapipe/39544  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_igemm_minmax_ukernel_1x16__fma3_broadcast
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c54a
     0.01%  python           [unknown]                                            [k] 0xffffffff8e6f42ab
     0.01%  mediapipe/39539  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_igemm_minmax_ukernel_1x16__fma3_broadcast
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000849140
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f979e
     0.01%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e104109
     0.01%  python           _multiarray_umath.cpython-310-x86_64-linux-gnu.so    [.] PyArray_NewFromDescr_int
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3edef1
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003289c2
     0.01%  python           libQt5Gui-1ce8cbfe.so.5.15.16                        [.] 0x000000000039b6f4
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085dfa8
     0.01%  python           cv2.abi3.so                                          [.] 0x00000000029aa8a6
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033eda8
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7e57
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000321c37
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327f07
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c59e
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033cef1
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002faf8e
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3fdc9d
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000032832e
     0.01%  mediapipe/39548  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_igemm_minmax_ukernel_1x16__fma3_broadcast
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fa2f0
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033cdd9
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b469fe
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000849265
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c514
     0.01%  mediapipe/39529  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_1x16__fma3_broadcast
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fbd7c
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000328980
     0.01%  python           libpython3.10.so.1.0                                 [.] PySlice_Unpack
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000008467f0
     0.01%  mediapipe/39533  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_ibilinear_ukernel__sse_c8
     0.01%  python           [unknown]                                            [k] 0xffffffff8e694473
     0.01%  python           libc.so.6                                            [.] __gconv_transform_utf8_internal
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b471a0
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000030f689
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000321b8a
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3dbc15
     0.01%  python           [unknown]                                            [k] 0xffffffff8e7a1141
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a64
     0.01%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] cv::Mat::Mat(int, int, int, void*, unsigned long)
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327f46
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a0f
     0.01%  mediapipe_gl_ru  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] mediapipe::api2::TensorsToDetectionsCalculator::ConvertToDetections(float const*, float const*, int const*, std::vector<mediapipe::Detection, std::allocator<mediapipe::Detection> >*)
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b469c3
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d1ee
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f81fc
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fb9df
     0.01%  python           [unknown]                                            [k] 0xffffffff8e417ac1
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000849190
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a16
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a2e
     0.01%  python           libtensorflow_framework.so.2                         [.] google::protobuf::internal::ArenaStringPtr::Set(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, google::protobuf::Arena*)
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000030fbe5
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f9e8c
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327922
     0.01%  mediapipe/39525  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_gemm_minmax_ukernel_1x16__fma3_broadcast
     0.01%  mediapipe/39530  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] pthreadpool_parallelize_1d
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000031634f
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000844c52
     0.01%  mediapipe/39538  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] pthreadpool_parallelize_2d_tile_2d
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000316616
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3e7683
     0.01%  mediapipe_gl_ru  [unknown]                                            [k] 0xffffffffc1a3d262
     0.01%  python           [unknown]                                            [k] 0xffffffff8e4957ac
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327f76
     0.01%  python           libpython3.10.so.1.0                                 [.] _PyObject_GenericSetAttrWithDict@plt
     0.01%  mediapipe/39541  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_vclamp_ukernel__avx_u16
     0.01%  python           libpython3.10.so.1.0                                 [.] PyDescr_IsData
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033ee40
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003162f1
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b477e6
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000084c3c1
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f80af
     0.01%  mediapipe/39525  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_ibilinear_ukernel__sse_c8
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000001b46a45
     0.01%  python           [unknown]                                            [k] 0xffffffff8e42f783
     0.01%  python           [unknown]                                            [k] 0xffffffff8e79d245
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3edfbf
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000003279db
     0.01%  python           libpython3.10.so.1.0                                 [.] _PyObject_LookupAttr
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000085cad4
     0.01%  python           [unknown]                                            [k] 0xffffffff8f4ea20e
     0.01%  mediapipe/39527  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] pthreadpool_parallelize_2d_tile_2d
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327e42
     0.01%  python           [unknown]                                            [k] 0xffffffff8f4f3289
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fb32c
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002fb54c
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000848715
     0.01%  python           libpython3.10.so.1.0                                 [.] unsafe_latin_compare
     0.01%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8e10410b
     0.01%  python           [unknown]                                            [k] 0xffffffff8e7dc044
     0.01%  python           libpython3.10.so.1.0                                 [.] PyLong_FromSsize_t
     0.01%  python           libpython3.10.so.1.0                                 [.] PyMethod_New
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000321b4c
     0.01%  mediapipe/39527  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_compute_gemm
     0.01%  python           libpython3.10.so.1.0                                 [.] builtin_getattr
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3edf0a
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000033d171
     0.01%  python           libpython3.10.so.1.0                                 [.] PyObject_Hash@plt
     0.01%  python           libpython3.10.so.1.0                                 [.] PyWrapper_New
     0.01%  python           libpython3.10.so.1.0                                 [.] set_update_internal
     0.01%  mediapipe/39526  [unknown]                                            [k] 0xffffffff8f4d75e7
     0.01%  python           libpython3.10.so.1.0                                 [.] PyErr_GivenExceptionMatches
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3edc8e
     0.01%  python           libpython3.10.so.1.0                                 [.] PyNumber_And
     0.01%  mediapipe/39539  libc.so.6                                            [.] __memmove_avx_unaligned_erms
     0.01%  python           libpython3.10.so.1.0                                 [.] _odict_get_index
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000327a2c
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000032cacd
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f7ef9
     0.01%  python           libpython3.10.so.1.0                                 [.] PyMem_Free
     0.01%  python           libpython3.10.so.1.0                                 [.] unicode_lstrip
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x000000000032894b
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x00000000002f97a1
     0.01%  python           [unknown]                                            [k] 0xffffffff8e495578
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000321b94
     0.01%  python           [unknown]                                            [k] 0xffffffff8e79cbf4
     0.01%  python           [unknown]                                            [k] 0xffffffff8e495721
     0.01%  python           libavcodec-76c43bf0.so.59.37.100                     [.] 0x0000000000846966
     0.01%  python           [unknown]                                            [k] 0xffffffff8e3ee034
     0.01%  python           cv2.abi3.so                                          [.] 0x0000000002666843
     0.01%  python           [unknown]                                            [k] 0xffffffff8e0015d7
     0.01%  mediapipe/39529  _framework_bindings.cpython-310-x86_64-linux-gnu.so  [.] xnn_f32_ibilinear_ukernel__sse_c8
