frame_index,avg_motion,Rdev,Ldev
1766,0.0,0.0,0.0
1767,0.0,0.0005901911858800414,0.0003497542707557083
1768,0.0,0.0009348235440657403,0.0002875554476094497
1769,0.0,0.0007698566843997719,0.0006330087724389742
1770,0.0,0.0006078920459417357,0.0007093442621463317
1771,0.0,0.0005851357862514138,0.0006068973059065478
1772,0.0,0.00019580401829801837,0.0003299652948168261
1773,0.0,0.00023514814992337362,0.000207974408703808
1774,0.0,0.0004593908504886462,0.0007266668825130793
1775,0.0,0.00020510394774350774,0.0002966100865994978
1776,0.0,0.00018387176016095838,0.0002736260787878457
1777,0.0,0.0001681372574481637,0.00041197986266304493
1778,0.0,0.00018110858319086255,0.00025099320581908544
1779,0.0,0.00020791907981039398,0.0001514324478032429
1780,0.0,0.0003766952482842159,0.00010409749425952228
1781,0.0,0.00016793515318092383,0.0005147758070528556
1782,0.0,0.0002250748416827068,0.0013154168555468103
1783,0.0,0.00023377356759288542,0.00035056128651618235
1784,0.0,0.0008913373303321407,0.00031007093005457477
1785,0.0,0.00027772067867999156,0.00046733461423336515
1786,0.0,0.00019976497585695553,0.00037475694593412466
1787,0.0,6.621220939710134e-05,2.5789601156439813e-05
1788,0.0,0.00021490494349544489,0.00030081438509470444
1789,0.0,0.0004395323456001894,3.2061814349667286e-05
1790,0.0,0.000532635227417486,0.00011390628518824387
1791,0.0,6.267237790746934e-05,0.0003499158431124786
1792,0.0,0.00019755135647557935,5.62092974335754e-05
1793,0.0,0.00011905060950877416,1.5517482882480056e-05
1794,0.0,0.00027262239941939137,8.85395449847032e-05
1795,0.0,0.0008619539771265554,0.00047694801368181294
1796,0.0,0.00048728322375628615,0.0002469252604946706
1797,0.0,0.00022991084615417358,7.302717196432022e-05
1798,0.0,0.00029845474711594325,4.194087934481224e-05
1799,0.0,0.0004465400112886531,0.0002054154640273065
1800,0.0,0.00034451353199090826,5.3366631835573374e-05
1801,0.0,9.929957168588907e-05,0.0038060110096911287
1802,0.0,7.708411445460135e-05,0.0017453362477744584
1803,0.0,7.70823342544736e-05,0.0012788809099690186
1804,0.0,0.00044584150381094564,0.0005712048201967203
1805,0.0,2.1920838870914166e-05,0.0009132898234069447
1806,0.0,0.00011017340985332041,0.001311081371897616
1807,0.0,7.90475351815243e-06,0.0007295559263725364
1808,0.0,0.0002141159316339264,6.816991848092553e-05
1809,0.0,9.188626307550193e-05,5.012924262769146e-05
1810,0.0,0.0001527955884535709,5.7521570448909654e-05
1811,0.0,0.00036459592149368073,0.0004621594757509469
1812,0.0,0.00014252830364316506,3.4040984424871724e-05
1813,0.0,1.3807355173838811e-05,0.0001428281143105147
1814,0.0,2.5923104340810937e-05,0.00015684754736573046
1815,0.0,0.0010789420913358437,1.1683878769822513e-05
1816,0.0,1.8706744702428836e-05,1.1146068572998047e-05
1817,0.0,0.00015427653697144134,0.0005606551948567048
1818,0.0,0.00011670613800272797,0.0007250838890902864
1819,0.0,0.00018292314919772905,0.0005276867302845429
1820,0.0,0.00042561650177853856,7.718617389206506e-05
1821,0.0,0.0004910291449164911,0.00011934762617062973
1822,0.0,0.000229611056253219,0.00016352635047067586
1823,0.0,0.0033294808732618956,0.0007436633144443052
1824,0.0,0.003934311430612054,0.0003143020514671596
1825,0.0,0.013515218382388222,0.00016847516177511787
1826,0.0,0.02444840754230997,0.00013765906596850062
1827,0.0,0.0641953889268795,0.00010237512014438383
1828,0.0,0.04913064150986725,0.0008935262001816603
1829,0.0,0.06545977587820873,0.00018221307587780152
1830,0.0,0.053420342493027566,0.0003578033215560155
1831,0.0,0.042272654305047654,0.0005151175789927574
1832,0.0,0.038486543075820674,0.0008665322621958583
1833,0.0,0.0384471966177455,0.0007649555358099643
1834,0.0,0.02279975249439644,3.254500936377421e-05
1835,0.0,0.010918324052839353,0.0014477779143572361
1836,0.0,0.003570139199136569,0.0013691294345944817
1837,0.0,0.003882714878026003,0.0002108192608861866
1838,0.0,0.006531193231612288,7.631268587763226e-05
1839,0.0,0.008320632861692462,4.4767016722262864e-05
1840,0.0,0.005292963069719802,0.0006283594136298581
1841,0.0,0.0023687359855782872,0.0007880431522550102
1842,0.0,0.010117624958890138,0.0007505858874393137
1843,0.0,0.014326415225412736,0.0015997512880704457
1844,0.0,0.0019653739551508107,0.0009956817342684006
1845,0.0,0.0030062821766957157,0.000151445538317071
1846,0.0,0.00460965985122047,7.554448437510896e-05
1847,0.0,0.0021523076911357333,4.918105621445468e-05
1848,0.0,0.00527045350615012,0.00010322072111959461
1849,0.0,0.003574132367886014,0.00013489010469833643
1850,0.0,0.0038244002688988957,0.0004731302417356187
1851,0.0,0.001552418974462376,0.002935207802030036
1852,0.0,0.004398722189128414,0.006738034263840935
1853,0.0,0.009310262384505089,0.02986582698245459
1854,0.0,0.02012949368337559,0.04514276988865627
1855,0.0,0.021421550766559074,0.06611051023145903
1856,0.0,0.018256944618168597,0.08945084600808816
1857,0.0,0.015877329987493426,0.060125895562213344
1858,0.0,0.01932333244701212,0.038184997794146344
1859,0.0,0.021562638761832526,0.05285182730446383
1860,0.0,0.013737273290181429,0.05309969743163746
1861,0.0,0.02300143702341288,0.022043846732993356
1862,0.0,0.013117132468266554,0.010972002905000786
1863,0.0,0.010738595190709318,0.01114923743461658
1864,0.0,0.0012918309098412376,0.0029426446102620457
1865,0.0,0.001958803205460703,0.005478756509418558
1866,0.0,0.0017281404337967491,0.01930653502817414
1867,0.0,0.008672963297727675,0.017551165361284073
1868,0.0,0.03207337916849755,0.0198799883198726
1869,0.0,0.06107030607468338,0.02196045599054297
1870,0.0,0.0651011880540362,0.003297600113133226
1871,0.0,0.07445821286256217,0.012145139527761356
1872,0.0,0.04138590162260556,0.011265187052338341
1873,0.0,0.030619233949625506,0.0016147000371712966
1874,0.0,0.0135803071846003,0.002066701453576153
1875,0.0,0.0013315374293346863,0.004597788045174888
1876,0.0,0.0020144179485382468,0.003940895390893511
1877,0.0,0.004142360228668737,0.001012160990511899
1878,0.0,0.001574502130743048,0.0019259639891045692
1879,0.0,0.0066367828903181715,0.0013890502879022237
1880,0.0,0.0009693773856450651,0.0005892805226851298
1881,0.0,0.0013274099360853298,0.001305553991880985
1882,0.0,0.003280093603764246,0.000584411089238104
1883,0.0,0.0033924584825137873,0.0004161082475761465
1884,0.0,0.002189080213028234,0.0015386274431223959
1885,0.0,0.006465983924749464,0.0003817459502541096
1886,0.0,0.0014002432479517646,0.0002298626063757999
1887,0.0,0.0012900789576858584,0.0002085028370925609
1888,0.0,0.001769054853737356,0.00015968387542433365
1889,0.0,0.0009039474828276812,9.629980766681233e-05
1890,0.0,0.007304928980133796,0.0005611567981138893
1891,0.0,0.0020871161342157383,0.0009175582838510224
1892,0.0,0.006789908901906656,0.002214381005885608
1893,0.0,0.005265399622514191,0.0017617333989305866
1894,0.0,0.01077691056279591,0.0005763416058878377
