Frame number,Ldev_diff,Rdev_diff,avg_motion_diff,keyFrame_diff,pose_0.x_diff,pose_0.y_diff,pose_0.z_diff,pose_1.x_diff,pose_1.y_diff,pose_1.z_diff,pose_10.x_diff,pose_10.y_diff,pose_10.z_diff,pose_11.x_diff,pose_11.y_diff,pose_11.z_diff,pose_12.x_diff,pose_12.y_diff,pose_12.z_diff,pose_13.x_diff,pose_13.y_diff,pose_13.z_diff,pose_14.x_diff,pose_14.y_diff,pose_14.z_diff,pose_15.x_diff,pose_15.y_diff,pose_15.z_diff,pose_16.x_diff,pose_16.y_diff,pose_16.z_diff,pose_17.x_diff,pose_17.y_diff,pose_17.z_diff,pose_18.x_diff,pose_18.y_diff,pose_18.z_diff,pose_19.x_diff,pose_19.y_diff,pose_19.z_diff,pose_2.x_diff,pose_2.y_diff,pose_2.z_diff,pose_20.x_diff,pose_20.y_diff,pose_20.z_diff,pose_21.x_diff,pose_21.y_diff,pose_21.z_diff,pose_22.x_diff,pose_22.y_diff,pose_22.z_diff,pose_23.x_diff,pose_23.y_diff,pose_23.z_diff,pose_24.x_diff,pose_24.y_diff,pose_24.z_diff,pose_25.x_diff,pose_25.y_diff,pose_25.z_diff,pose_26.x_diff,pose_26.y_diff,pose_26.z_diff,pose_27.x_diff,pose_27.y_diff,pose_27.z_diff,pose_28.x_diff,pose_28.y_diff,pose_28.z_diff,pose_29.x_diff,pose_29.y_diff,pose_29.z_diff,pose_3.x_diff,pose_3.y_diff,pose_3.z_diff,pose_30.x_diff,pose_30.y_diff,pose_30.z_diff,pose_31.x_diff,pose_31.y_diff,pose_31.z_diff,pose_32.x_diff,pose_32.y_diff,pose_32.z_diff,pose_4.x_diff,pose_4.y_diff,pose_4.z_diff,pose_5.x_diff,pose_5.y_diff,pose_5.z_diff,pose_6.x_diff,pose_6.y_diff,pose_6.z_diff,pose_7.x_diff,pose_7.y_diff,pose_7.z_diff,pose_8.x_diff,pose_8.y_diff,pose_8.z_diff,pose_9.x_diff,pose_9.y_diff,pose_9.z_diff
708,-0.0003572895177912025,0.0007789712219950923,9999.62507775426,0.0,8.991786956791259e-06,-4.876144504548097e-05,0.0011525829219818373,6.770339965767036e-06,-4.2102921485903666e-05,0.0010617442779540798,7.375961303734968e-06,-3.576221084594655e-05,0.001223873271942122,5.275726318365592e-06,-2.8142978668210805e-05,0.0004288590824127192,3.910099220277852e-05,-4.188864517212787e-05,0.0015238637912273409,2.7225505828898378e-05,-4.5492668151458915e-06,0.000764291953182214,9.124415206906988e-05,-0.00015312231445308022,0.0027021492601871505,2.4982078552282516e-05,0.0001382855606079092,0.0014878364252090479,-2.2480312347417097e-05,-0.0007551897659301421,0.004195376523971561,-5.529699325557136e-05,8.283264160158232e-05,0.0017009675600051927,-7.738410186769462e-05,-0.0004000820426940388,0.004431324789047231,3.083207321163961e-05,0.00010390449523922651,0.0016844054746627812,4.505237579333077e-06,-3.838618469237387e-05,0.0010629949111938264,-9.220018768307803e-05,-0.00036876950836184363,0.004554685230255151,5.5132087707465693e-05,8.627404403682704e-05,0.0015400607628345483,-6.405281066895752e-05,-0.0004982060852051218,0.004286111606597892,-8.442190170288022e-05,7.74363861083538e-05,-0.00016769869828223843,-0.00010272453498838541,-4.828482055663219e-05,0.00015444240951537763,9.229027557378089e-05,-9.637554168695495e-05,-0.0007188099401950823,0.00010593819999693554,0.00021938327789317036,-0.0003740160990715058,-8.415729904176494e-05,-2.3189392089895122e-05,-0.0007264064788818358,0.0002491561393738184,0.00018621994018563903,0.000629693477630644,-0.00015140826034543142,-3.9481964111409695e-05,-0.0007459955749511415,3.6666870095736215e-08,-2.9579297065734922e-05,0.0010634889450073515,0.000323076881408646,0.00016538993835446547,0.0006726273269653804,5.276206588744614e-05,8.178756713861368e-05,0.00044429714584348634,9.910466766360759e-05,0.00024168071746832887,0.0006326792964935213,1.9547702789335375e-05,-4.906420040129422e-05,0.0012030016498565943,2.13675670623914e-05,-4.726758480072535e-05,0.0012025201320648438,2.9005186080954815e-05,-4.7088732719413606e-05,0.001202459764480579,-2.2905139923090623e-05,-2.439245510102439e-05,0.0007295857496261715,3.3636587142948926e-05,-2.5576816558847693e-05,0.001370598471641532,2.4237251281533645e-06,-4.335213184356035e-05,0.0010423592777252244
709,0.0001445272001252551,-0.0009565980073477504,-0.3988170398979187,0.0,4.614589691143145e-06,-7.293899631499734e-05,0.00042504616355898417,-2.011272430380018e-06,-6.10222091674828e-05,0.0004406078224182264,8.010959625215364e-06,-7.85343017578044e-05,0.000273572521209714,-3.803332519536351e-05,-1.0967523574823002e-05,0.0003214873055458062,3.857722663880292e-05,1.2377870559687754e-05,5.3442499065400884e-05,1.5891281127888846e-05,-1.5846099853389362e-06,0.0008256249232292123,1.0945426940911496e-05,7.597815322879509e-05,0.0015614603424072282,2.1906215667777396e-05,-6.3413658142330576e-06,0.00027106082363128475,-2.138654708883081e-06,0.00020197955322265315,0.003041965267181368,6.019831466674841e-05,-6.84883689879845e-05,-0.0012212547189712486,-3.341680908203193e-05,0.00015318712234502208,0.003211508544921915,7.148923492428239e-05,-7.130685043332807e-05,0.0004968995447158786,-6.757591247574801e-06,-5.5528688430783735e-05,0.0004412898712158331,-9.325537490845193e-05,0.00013383122253418644,0.003020852745056146,5.647024536137302e-05,-4.067106246952168e-05,0.0005627814882278454,-8.155243492125042e-05,0.00010817353820802289,0.003015348884582547,-8.166152572630647e-05,-1.5563430786347254e-06,0.00015703289842605717,-9.704113388059321e-05,-4.915717315678858e-05,-0.0001635007414340986,-5.4906982421831785e-05,-8.784828186025884e-05,0.0011722890038490252,0.00022673181152343957,-3.79801940917357e-05,0.000718410686516761,-6.242711257931077e-05,-8.316802978525217e-06,0.0003450889568328841,5.191833496098752e-05,0.00014767921447744747,-0.0014960802154541097,-7.334764480593225e-05,-2.1784515380929292e-05,0.00022368105697634366,-7.474685668973358e-06,-4.655079650878191e-05,0.0004429181308746588,0.00013226481246952915,9.916553497313352e-05,-0.001974459648132365,-2.02930450439176e-05,6.490367889400162e-05,0.0002745085754394805,-8.454311752315036e-05,0.00011847282409660487,-0.007839474964141835,1.853675079344086e-05,-6.833270359038468e-05,0.0003861023387908835,2.1708799362196718e-05,-6.638798046113004e-05,0.000385943664550803,2.9487504959124777e-05,-6.6857873916637e-05,0.00038678362464905636,-1.7906608581585992e-05,-3.548652362822535e-05,0.0003190912392616249,2.8490467071540237e-05,-2.8932014465327116e-05,6.559335565567426e-05,-1.7386169434141507e-06,-7.162008380889873e-05,0.0003459881801605169
710,0.00021786499650450208,0.00013482433525463522,-0.6114070218429566,0.0,1.3171176910353743e-05,-5.277848815918307e-05,0.00016889858627319732,2.9525756839454687e-08,-4.6429753303517396e-05,0.00020048212337495097,-4.400791168257534e-06,-5.204728889462995e-05,0.00021807605648041517,-4.037104415888226e-05,-5.60122184753431e-05,0.00021936013040542435,2.7991516113268222e-05,9.488079071029443e-06,0.0005233781958580014,-1.8568038940403042e-05,-0.00018022892379765398,0.0005308104227065985,8.392331314088786e-05,3.6773368835452125e-05,0.0005190242080688467,0.00015724906921388282,-0.0002550261459350889,-9.658730030059903e-05,-0.00018588358688353956,4.257185363765181e-05,-0.0013182812805175859,0.00021842885971068426,-0.00028914778518673856,-0.000554182142257692,0.0003381404247284059,-1.303846359257399e-05,-0.0017045462341308548,0.00017440209579466792,-0.00013714804077147313,-0.0005102316398620521,-3.860591888393827e-06,-4.0445212364209615e-05,0.00020133068180083757,-0.0001317702941894261,-3.5078540801980473e-05,-0.002000596683502165,0.0001430057868957446,-0.00013895941925046174,-0.00017464849185944153,-0.00018559539604184883,5.861664581296999e-05,-0.0015276236991882408,-7.327115249633476e-05,-0.0001638772430420099,0.00013151873021125665,-4.474153327943542e-05,-7.711749649053079e-05,-0.00014975973381996244,0.0002442632293701008,-0.0003572163772582737,-0.0007983878707885778,0.00012033411598205701,-0.00027728000640858674,0.00028145615992546114,0.0003033341293334768,-0.00025661010742195067,-0.0016944376220703328,1.2696510314991194e-05,3.50762939453908e-05,6.931277084348819e-05,0.00018880939483645331,-0.00027049877166751557,-0.0017179887065887356,8.089103699093769e-07,-3.3764324188223505e-05,0.0001995817317962667,4.272999954224588e-05,-1.4406127929689205e-05,-3.053891372684081e-05,0.0005276586341858014,-0.00022727527618404686,-0.0018508383893966751,-0.00018007708358769303,-0.00040335453033457647,-0.0006037217445373777,4.157962799067327e-06,-4.1079960823059425e-05,0.0002210180158615238,-6.240470886265115e-06,-3.265304660796109e-05,0.00022201484203338007,-1.2112922668228165e-06,-3.0050171852119556e-05,0.00022453082370757493,-1.4450706481983211e-05,-2.9362979888925e-05,0.00032606940372934933,-1.0363195419305082e-05,2.373643493652766e-05,0.00034693700964450944,1.588115310668936e-05,-5.917399787902511e-05,0.00020135610389709901
711,-0.00023836927086467313,0.00010050097573868072,0.3632902349472047,0.0,6.35020790099583e-05,-0.00015473951721192702,-0.00017388508605958863,3.2481689453134344e-05,-0.00012010100460052575,-5.0436299324024825e-05,4.5258872985787235e-05,-0.00015976809120177293,-0.00031659746360779284,-3.853416824339817e-05,2.214641380310356e-05,-1.1351999378197974e-05,8.160526275613478e-06,-3.42462368011498e-05,-0.0007566288551330569,-0.00010164994430539309,-1.6457649230972038e-05,0.00038405356779098315,-1.9340734481787525e-05,9.5553691863981e-05,0.001330557757377615,-0.00016737500762942226,2.413786315913491e-05,0.00028565781402589696,9.475502014133497e-06,-5.038185119632388e-05,0.0009134133033752434,-7.146314620976035e-05,3.1904720306341616e-05,0.0002794282588958752,0.0005791235637664927,-4.339153289789621e-06,0.0010793145942687987,-6.114788818356587e-05,0.00012190248489374333,0.0003062131958007641,4.947931289678298e-05,-9.493546962738297e-05,-4.976511859894339e-05,0.0002348824367522928,3.47937316894642e-05,0.0010505819091797264,-8.39181632995567e-05,0.00011006207275388036,0.00026925302886965374,-0.00019289189338683732,3.20606517791866e-05,0.0009660846023559211,-3.8872642517118194e-05,3.619567871093743e-06,0.00026146539187431317,-1.9156143188481245e-05,-1.3610877990233305e-06,-0.0002756117232084257,0.00019225188064575516,3.062416076660135e-05,0.0009856910347938591,0.00012651942634583913,5.067985534656927e-05,-0.0011114951737403872,0.00022573942184445084,-0.00014792137145991369,0.002593237220764155,-3.842267990117332e-05,0.00013986579895020057,-0.0001917669219970719,0.000184806232452428,-0.00018189601898188634,0.0027756514396667376,3.5105804443325006e-05,-8.3972478866573e-05,-5.06719799041877e-05,-5.419888687130392e-05,-0.0001709867477417415,0.00014740034103388755,0.00034169575119014084,-0.00023679538726817384,0.0032912175607681393,-0.00024576228713990567,-0.00048024143218983184,0.00042867469596863383,6.805744934079705e-05,-0.00010021613597868684,-0.0001384365110397301,9.745892715451454e-05,-8.469770526886577e-05,-0.00013926339721678782,7.446046447756594e-05,-8.350851726532382e-05,-0.00014009375858306528,1.573619842543117e-06,-3.099886322022183e-05,6.831750375032447e-05,2.6889341354363605e-05,1.4001970290999921e-06,-0.00041352900638580437,2.9504558563209216e-05,-0.00014475714397430006,-0.00018136327075957137
712,-2.107955118095528e-05,-0.00055983533840262,0.01412987361907958,0.0,1.671389389035216e-05,-8.848639011382886e-05,0.0010795206604004015,-2.3618560791027754e-05,-7.796643924712354e-05,0.0008382022552490265,4.4431575775161214e-05,-0.00010508518981933168,0.0009947451829910303,-3.897925949092329e-05,0.00012673488998410365,-0.0006408861336708038,1.9617973327612503e-05,-7.173766326906694e-05,-0.0001303038008689944,-0.00014558551788335095,5.264788436887269e-05,-0.0013076364768147466,7.126582527161585e-05,-0.00018825885772699724,0.0004326749610900904,-0.0001254841690063735,4.785202026402757e-06,-0.003436183393478398,-6.47582168579186e-05,0.0005092385349273476,-0.0009083436203003448,0.00014590233230593608,-4.768572616575817e-05,-0.0036238707389831815,0.00019270904350282558,0.00047098309707643837,-0.0008677612609863106,0.0003139041023254574,-2.592164230341698e-05,-0.004064762926101695,-4.6439674377452e-05,-6.88189344406065e-05,0.0008354131221771366,2.319518852234026e-05,0.000351297424316388,-0.0008956743583679039,0.00024381707000731279,6.615287780786794e-06,-0.0037088752651214807,-0.00014549394607543675,0.0003260198326111019,-0.0008987671127319574,-0.0001016095314025911,-1.3133964538614151e-05,-6.403824694156679e-05,-1.736536216734308e-05,-2.5772666930601318e-06,4.66934698820122e-05,0.00019210802459712628,0.00011602020263667967,-8.020179891586598e-05,0.00017050742340085634,8.743854522696992e-05,0.0004944946767687797,1.0462890625007049e-05,-4.479919433597601e-05,-0.002159428930282592,3.669291305541389e-05,-2.7163009643560443e-05,-0.00010276074028015003,-0.0001134286727905165,-0.00016796955108633327,-0.0023715068588257004,-2.9113494873000967e-05,-7.020439624785824e-05,0.000833025275230409,5.765172958371867e-05,-0.00021059135437018206,-6.0243761062617196e-05,0.0002596674156188916,7.665119171140766e-05,-0.0017640607122421242,-0.000209526279449479,-0.00031748748779292235,0.0009754811401367358,1.0401027679463049e-05,-6.635699176787968e-05,0.0009255262012481669,1.5005325317396512e-05,-6.732740116119351e-05,0.0009284598770141483,1.9110183715809193e-05,-8.679548645018631e-05,0.0009260237360000645,-6.0708335876458186e-05,-3.5889855384829694e-05,-4.233967065812166e-06,1.0204124450685637e-05,5.659574604033324e-05,0.0004313823258638369,2.050973892209207e-05,-8.361799430844918e-05,0.0008537836923599162
713,-0.0006744024043613406,0.0012658010214737642,0.25575988767623903,0.0,-2.8618785858136597e-05,-5.468251609802577e-05,0.001349701330184916,-4.8738937377890146e-05,-2.267590522767038e-05,0.0013800595598220944,1.0571655273405867e-05,-8.778746795656822e-05,0.0013199191560745172,-2.7366630554248594e-05,0.0002130457210540726,0.0012347702617645229,8.269318389891867e-05,0.00012902666664121876,0.0004069032388687166,-0.0001885933456421407,0.00015585463333134264,0.0007486055144786813,6.59127864837683e-05,-9.736459732057057e-05,-0.0003971552886962715,0.00026166625976564717,0.0005629601554870689,0.0010049916210174703,0.0003303782997131077,-0.0007148678874969727,0.0006543707733154269,0.0002044355735778547,0.0005880066890716629,0.001092223541259818,0.00033096565437318315,-0.0005853366947173866,0.0008118374214172164,0.00030039985656737933,0.00048980889701844,0.001176792152404793,-8.025991821292155e-05,-9.965541839601633e-06,0.001378552157402041,0.0003606848583221356,-0.0003872297458648588,0.0011756871109008804,0.0003393246078491341,0.00045349543380734936,0.0010192009811401115,0.0002128399085998267,-0.00046790992736817083,0.0008551835174560596,-9.14767417907747e-05,0.000225032855987517,5.4093721580505266e-05,-6.70208740233269e-06,0.00027611255645754174,-7.521723120212584e-05,0.00020619446945191466,0.00013601867675783197,0.00013482112236022636,6.9090602874744e-05,0.00034895996093742276,0.000182296392679214,0.00019467898178104903,-0.00014335609436044727,0.0010631445016860974,3.291183853149082e-05,6.147903442377256e-05,0.0006610639038086008,0.00018790546035762912,-0.00023589546203606204,0.0012059439544677697,-4.904933166505199e-05,-1.114505481719652e-05,0.0013765795488357435,3.4069076538134624e-05,-5.847106933587476e-05,0.0008323828277587708,0.00020233306121830719,-7.211421966557552e-05,0.0019013749514102951,-1.251361083987046e-05,-0.00026966037750253413,0.0018082120208740005,-9.624408721875533e-06,-4.1710169792180674e-05,0.0013755436487197792,-1.2247341156013114e-05,-1.7999017715458754e-05,0.0013730004873275803,-9.096689224219467e-06,-1.2008571624755326e-05,0.0013703227987289512,-7.588502120969842e-05,-1.3007583618163121e-05,0.0013494011251297595,1.3561347961432713e-05,0.00012517671203612912,0.001330651836722076,-9.947013854816333e-07,-4.182994842505394e-06,0.0013264339380264223
714,0.000449511302635406,-0.0006641628901986468,0.24888653251647952,0.0,-3.2854839324913954e-05,-3.992171669006672e-05,0.001436747306823749,-2.1460765838643425e-05,-1.6447566032418148e-05,0.00154752388954163,-2.3934055328411752e-05,-7.275814628598942e-05,0.001482772942543037,-0.00011625231170653283,0.00015341783523559194,0.0017522440862655642,-9.450037956237889e-05,-4.56278762817619e-05,0.0011145770948410016,-7.903654861451948e-05,0.00022083463668820524,0.002012184098339087,6.132079696657966e-05,-1.3966253280650598e-05,0.0009036958370208792,7.530249023435243e-05,0.00010395747566221969,0.002453382753372202,0.00016146490478513575,-2.5369789123541597e-05,0.0010953336563109817,8.721394348143452e-05,6.719963836671061e-05,0.0024792990913390933,0.00027817582130429397,-0.00016108663558961345,0.0011058219375610356,0.00012557291412351734,-2.9855501174902432e-05,0.0025151883773803507,-4.974588012696124e-05,-6.526130676282049e-06,0.001545693944931037,0.00018491827011107853,-0.00020352198410034106,0.0010514573631286162,0.00018327194213862974,-1.0593334198005788e-05,0.002487636034011864,0.00012399746322633298,-0.00018506886291502767,0.0011254748458862096,-0.00010120286560055813,-6.083199691775398e-05,5.913987796306655e-05,-7.553678512572937e-06,-7.374275588989398e-05,-7.709005768299221e-05,-0.0020075932273865282,-0.05171232322692876,-0.00014120437068938785,-2.7382648468021742e-05,0.00016445659637454035,-0.0007196152007460602,0.00017299233627321442,-8.597568511969911e-05,-0.0009261016731262339,8.250402450560301e-05,0.0001961462402344516,0.001782322877883935,0.00018424057006838357,-0.0001087127304078006,-0.0008956183376312432,-4.6592506408704715e-05,-7.569795608508567e-06,0.0015448793630599977,0.00010400683593747573,6.49361419677863e-05,0.002159268222808819,0.00027919645690921424,0.0002410409545898773,-0.0004780433270931278,-7.979881286646062e-06,1.728832244873857e-05,0.0033331164426803617,-1.038364410399506e-05,-3.596169376374192e-05,0.001512087306022647,-1.9761951446484183e-05,-2.3445038795477657e-05,0.0015132219038009598,-2.1314590454124538e-05,-3.166473484039756e-05,0.0015131579904556214,-0.0001245188789367191,-3.6119718551663738e-06,0.001860012255287171,2.493688964844143e-05,-3.221371173858789e-05,0.0016650916557788865,-4.712188720668031e-06,1.827411651611488e-06,0.0015393002147674473
715,0.0006338243532111182,-0.0001390849412326936,-0.038594845882415796,0.0,-3.017468261723444e-05,-7.06250648498663e-05,-0.0008709649868011426,-1.0391742706339357e-05,-3.3995606422421165e-05,-0.0007233472328186108,-3.191408920288907e-05,-4.9436212539666347e-05,-0.0006667959175109817,-5.2555130004905415e-05,1.3981689453101964e-05,0.0003215322580337465,-2.8633241653419628e-05,-3.502217102052674e-05,1.9836229038242004e-05,-0.0002813011322021497,0.00039124207305907266,-0.0008823865227699235,8.332950210571122e-05,0.00019423770141602237,-0.0010664632797240947,-0.00041045600128175597,-0.00030466189193723014,-0.002171593301773078,-0.000111959705352771,-9.238647460935168e-05,-0.0011750640449523786,-0.00016235051727298,-8.252717590334635e-05,-0.002374660909652715,-5.24507637024163e-05,-0.00016163300895688515,-0.0012309953308105026,-0.00019032854843137326,-6.076723289488717e-05,-0.0019569541034698545,-2.5992237091099213e-05,-2.316413593292377e-05,-0.0007226985321044932,-1.0815999984759017e-05,-0.00017055109977720528,-0.0009556923980712506,-0.00021989917755127486,-0.00011493869400025503,-0.0020725317993163794,2.3743762970207527e-06,-0.0001728809566498013,-0.0010843498268127139,-5.871308898930394e-05,5.062664031985076e-05,0.0001272169120073302,7.110671997323514e-07,1.9232658386214574e-05,-0.00014999743010997782,-0.0013306571655273824,-0.007560322303771905,-0.0005121074669837966,-8.131441307068776e-05,0.00032013088226312547,-5.544562492370772e-05,0.0001570156822204849,0.0004562751770018636,0.0014506513662338183,7.513144302373487e-05,0.0002942761230468882,0.001354517089843743,0.000288234806060772,0.00046511669158944,0.0016912823057174675,-2.3010303497272844e-05,-2.504120159149692e-05,-0.0007220246200561609,0.00011112267684931787,0.00015456150054937723,0.0017561783008575582,0.0001816562499999952,0.0005005558776856045,0.0015296392084556817,5.787598037720887e-05,0.00025397548675543113,0.0022041785755157473,-1.0736072540318276e-05,-3.77645473480237e-05,-0.0007227917098998893,-1.526269912721645e-05,-1.6532514572148438e-05,-0.0007238114070892421,-2.9735382080064987e-05,-1.207435512542987e-05,-0.000725151350975034,-4.918566131595359e-05,-1.6559061050414048e-05,-5.672071700096176e-05,9.562282562269875e-06,-1.7113954544067944e-05,-5.831270847320852e-05,-8.337783818923583e-08,-7.78767108916556e-06,-0.0006515838193893453
716,-0.0007987776218498152,-0.00019529290746419722,0.20905775342369082,0.0,-1.7969215393098814e-05,-7.229701328276272e-05,-0.0005075760173797739,-2.213619232183106e-05,-8.126477527617415e-05,-0.0005617057199478193,1.4962238311766463e-05,-5.6980122566219205e-05,-0.00036935405492782847,8.36996459960826e-05,-6.676174926756318e-05,-0.0014606319742202778,0.00016329598236086706,-6.610305404664008e-05,0.00043771704807281375,-0.0001660038909911954,6.515552520736101e-06,-0.0015876100130081117,3.795666694639266e-05,6.414269065857514e-05,-0.000294831941604623,-6.193794250486384e-05,0.00042169201087949304,-0.0006753821144104277,-0.0001972286796569911,0.0001120802974701185,-0.0014797570457458775,-9.449547958373383e-05,0.00013779125404356218,-0.0005908982524872042,-0.00022550526809694826,0.00013056131553651484,-0.001681999225616404,-7.198086166382289e-05,0.00012295802307127346,-0.0006589930667877386,-1.6443786621134215e-05,-7.630661296845198e-05,-0.0005631092309951735,-0.00019915760040284392,0.00021733852767946704,-0.001371350845336905,-9.778191375731105e-05,0.0001514823188781822,-0.0006608998413085709,-0.0001806917953491305,0.0002393076553344753,-0.001447124084472673,-5.612081909178723e-05,-8.705132675168592e-05,-5.708612091541443e-05,1.8097400665273433e-05,-7.10509223937894e-05,2.822315013408655e-05,-0.0008600812644958822,-0.0009658210945129309,-0.0015110089027404808,-0.00011689893722532929,0.00012583599090576492,-0.0006275925457715978,9.144165420527095e-05,-3.0231971740679597e-05,-0.00014048889827728006,7.404048919634754e-06,-0.00020033733367919027,0.0003052157478332651,0.00014466047668459936,-4.9501113891681214e-05,1.3460167884837837e-05,-1.1545925140410418e-05,-8.491302776336696e-05,-0.0005653159236908012,8.825597763062465e-05,-0.0003174339294433892,0.0005836204280853519,-3.892037200925458e-05,5.5912170410232775e-05,0.0006788791091442113,-0.00013090140533444927,-0.00017343406677250428,0.0016373322906494125,-4.280628967290312e-05,-7.935075664519675e-05,-0.00034836634635926345,-3.7684638977020235e-05,-5.116096496582401e-05,-0.0003485163774490374,-5.215824508664202e-05,-3.888917255401303e-05,-0.0003478514547348155,1.1933040618861135e-05,-7.908967399597455e-05,-0.0008991778228759767,1.41710624694813e-05,-6.83310966491657e-05,7.1539248561861e-05,2.7717971802232455e-06,-5.333856391906422e-05,-0.0006516048107147177
717,0.0008899162833035899,0.00011997508302252075,0.032333008237838745,0.0,-9.599596023557311e-05,-0.00021949338054658152,0.00027024424362182,-8.12949829102072e-05,-0.0002108268947601244,0.00043789624881743205,-6.802332305910763e-05,-0.00018764941596985385,0.00035500858592987794,1.3252765655558107e-05,-1.3828739166277249e-05,-8.83188123703138e-05,0.0001158302955627244,1.9572801589984312e-05,-0.0010873022230148272,-0.00020669887542723586,1.1840869903578799e-05,-0.0013478642454147205,-0.00016476194190978566,0.00014755688095091646,0.00014702640533448275,-0.0004978525848389204,-0.00035437648200986605,-0.0012794096755981421,-8.075510787963758e-05,6.650144195557983e-05,2.0606674194345587e-05,-0.00047502912902830374,-0.0004697549400329848,-0.0013366251182556077,-0.00014781390380858017,-0.0001258975677490004,-3.4760292053181985e-05,-0.0004382806892394564,-0.00039705880928037063,-0.00105556023406983,-7.10418472290586e-05,-0.00020037812900541851,0.00043706841373444827,-0.00015463697051998349,-9.556029891966134e-05,5.8571647644001246e-05,-0.0004400598449707527,-0.0003089398975372193,-0.001176850215911851,-0.0001819227256775191,-3.554208946227044e-05,3.794415664670758e-05,-5.199044036863221e-05,3.818898391727554e-05,-4.302895534038717e-05,6.65401458765924e-07,7.80522384643545e-05,2.2329143929480932e-05,-0.0006205700531005665,0.00018886816406249451,-0.00019762703666686976,-0.00011845213317873693,0.0002810763931273552,0.00018704599645137827,7.811795806889066e-05,-1.455406188966002e-05,0.00212848989391326,0.0002445554122925131,-0.00017591629028324007,0.0016508428459167668,0.0003513284530639593,-6.116436004632853e-05,0.0023590969390869243,-6.492414855951978e-05,-0.00019550872612000836,0.00043821700859070223,0.0003103265571594571,-0.00022374774932854002,0.0018232063446044777,1.984772872920537e-05,-8.271053314201637e-05,0.0027309995755195604,3.702777862546469e-06,-0.00027815589904789384,0.0021695093913078334,-0.00013833462142942565,-0.0002443870334625231,0.0005058150959015018,-0.00013997621917727354,-0.00020014563274384223,0.0005024393224716261,-0.00015505583572383852,-0.00017321255970001448,0.0005008013553619295,-7.194857788084263e-05,-0.0001088749780654985,0.0006440843583107037,-6.773036193846727e-05,-0.0001677775087356448,0.0009495749133586889,-6.771958923335042e-05,-0.0001634774618148871,0.00026073057126999033
